section,count,section_overview
home sales and construction,3,real estate and construction
homebuilders,1,real estate and construction
homebuilders and savings and loans,1,real estate and construction
homebuilding and home finance,2,real estate and construction
homebuilding and mortgage rates,1,real estate and construction
hotels and motels,1,consumer activity
household spending,1,consumer activity
housin,1,real estate and construction
housing,130,real estate and construction
housing activity,2,real estate and construction
housing activity and finance,66,real estate and construction
housing and construction,47,real estate and construction
housing and finance,1,real estate and construction
housing and housing finance,4,real estate and construction
housing and mortgage rates,1,real estate and construction
housing and the mortgage market,1,real estate and construction
housing and thrifts,1,real estate and construction
housing construction,1,real estate and construction
housing construction and finance,1,real estate and construction
housing developments,1,real estate and construction
housing finance,2,real estate and construction
housing market,1,real estate and construction
housing remains strong despite uncertainties,1,real estate and construction
housing slows,1,real estate and construction
housing/construction,9,real estate and construction
hurricane andrew,1,business activity
hurricane katrina,1,business activity
import competition,1,business activity
improvement in chicago and milwaukee,1,business activity
improving iron ore mining and agriculture,1,agriculture and natural resource
industrial,8,manufacturing and other business activity
industrial activity,23,manufacturing and other business activity
industrial activity and inventories,6,manufacturing and other business activity
industrial output,1,manufacturing and other business activity
industrial production,7,manufacturing and other business activity
industrial production and employment,1,manufacturing and other business activity
industrial production and inventories,3,manufacturing and other business activity
industrial sector,1,manufacturing and other business activity
industries,1,manufacturing and other business activity
industry,3,manufacturing and other business activity
industry activity,2,manufacturing and other business activity
industry costs and inventories,1,manufacturing and other business activity
industry doing well,1,manufacturing and other business activity
inflation,22,employment wage and price
inflation and trade expectations,2,employment wage and price
inflation expectations,1,employment wage and price
inflation outlook,1,employment wage and price
information technology services,1,employment wage and price
insurance,17,retail sales and services
introduction,17,overview
inventories,38,manufacturing and other business activity
inventories and investments,1,manufacturing and other business activity
inventories and prices,3,manufacturing and other business activity
inventory,1,manufacturing and other business activity
inventory investment,1,manufacturing and other business activity
investment,3,banking and finance
iron ore and agriculture,1,agriculture and natural resource
job markets,1,employment wage and price
job opportunities,1,employment wage and price
jobless funds,1,employment wage and price
jobs and income,1,employment wage and price
kansas city,36,overview
labor,13,employment wage and price
labor and prices,6,employment wage and price
labor concessions,1,employment wage and price
labor costs,1,employment wage and price
labor costs and prices,4,employment wage and price
labor demand,1,employment wage and price
labor disputes,1,employment wage and price
labor market,99,employment wage and price
labor market and wages,1,employment wage and price
labor market conditions,22,employment wage and price
labor market.,1,employment wage and price
labor markets,151,employment wage and price
labor markets and business activity,1,employment wage and price
labor markets and economic indicators,1,employment wage and price
labor markets and general business activity,1,employment wage and price
labor markets and prices,5,employment wage and price
labor markets and wage pressures,1,employment wage and price
labor markets and wages,22,employment wage and price
"labor markets and wages, and prices",1,employment wage and price
labor markets tighten,1,employment wage and price
"labor markets, wages and prices",7,employment wage and price
"labor markets, wages, and prices",11,employment wage and price
"labor markets, wages, prices",2,employment wage and price
labor negotiations,6,employment wage and price
labor unrest,1,employment wage and price
large banks,1,employment wage and price
layoffs,1,employment wage and price
leasing,1,real estate and construction
lending activity,5,banking and finance
loan demand,4,banking and finance
loan terms,1,banking and finance
lower break-even points,1,agriculture and natural resource
lumber and furniture,1,agriculture and natural resource
machine tools,1,manufacturing and other business activity
machinery,4,manufacturing and other business activity
machinery and equipment,1,manufacturing and other business activity
manufacturers,2,manufacturing and other business activity
manufacturers' input prices and inventories,1,manufacturing and other business activity
manufacturers inventories and input prices,1,manufacturing and other business activity
manufacturers' inventories and input prices,3,manufacturing and other business activity
manufacturing,2299,manufacturing and other business activity
manufacturing    and transportation,1,manufacturing and other business activity
manufacturing  and other business activity,1,manufacturing and other business activity
manufacturing  and related services,2,manufacturing and other business activity
manufacturing activity,16,manufacturing and other business activity
"manufacturing and                   related services",1,manufacturing and other business activity
manufacturing and capital goods,1,manufacturing and other business activity
manufacturing and coal,1,agriculture and natural resource
manufacturing and construction,3,manufacturing and other business activity
manufacturing and distribution,36,manufacturing and other business activity
manufacturing and employment,6,manufacturing and other business activity
manufacturing and energy,1,agriculture and natural resource
manufacturing and industry,6,manufacturing and other business activity
manufacturing and investment,1,manufacturing and other business activity
manufacturing and mining,56,manufacturing and other business activity
manufacturing and mining activity,3,manufacturing and other business activity
manufacturing and natural resource industries,3,manufacturing and other business activity
manufacturing and other  business activity,1,manufacturing and other business activity
"manufacturing and other               business activity",1,manufacturing and other business activity
manufacturing and other business    activity,1,manufacturing and other business activity
"manufacturing and other business                   activity",1,manufacturing and other business activity
"manufacturing and other business                 activity",1,manufacturing and other business activity
manufacturing and other business activity,251,manufacturing and other business activity
manufacturing and other services,3,manufacturing and other business activity
manufacturing and related    services,1,manufacturing and other business activity
manufacturing and related services,162,manufacturing and other business activity
manufacturing and services,1,manufacturing and other business activity
manufacturing and technology,3,manufacturing and other business activity
manufacturing and transportation,98,manufacturing and other business activity
manufacturing conditions,2,manufacturing and other business activity
manufacturing industries,1,manufacturing and other business activity
manufacturing sector,2,manufacturing and other business activity
"manufacturing, mining and forestry",1,manufacturing and other business activity
manufacturing.,4,manufacturing and other business activity
manufacturing:,2,manufacturing and other business activity
manufacturingâ,3,manufacturing and other business activity
market psychology,1,business sentiment and outlook
materials,1,agriculture and natural resource
metal mining,1,agriculture and natural resource
metal mining and forestry,1,agriculture and natural resource
mild weather,1,agriculture and natural resource
military base closure list,1,business activity
mining,13,agriculture and natural resource
mining and agriculture,2,agriculture and natural resource
mining and energy,5,agriculture and natural resource
mining and manufacturing,5,agriculture and natural resource
"mining, agriculture and forestry",2,agriculture and natural resource
mining/energy,1,agriculture and natural resource
minneapolis,36,overview
minority- and women-owned business enterprises,3,minority- and women-owned business enterprises
monetary conditions and capital markets,1,banking and finance
mortgage credit,1,banking and finance
mortgage lending,5,banking and finance
mortgage market,1,banking and finance
mortgage rates,1,banking and finance
motor vehicle,1,consumer activity
motor vehicle sales,1,consumer activity
motor vehicles,60,consumer activity
municipal finance,2,banking and finance
nan,11,NA
national and regional overview,1,business activity
national economy,3,business activity
national outlook,3,business sentiment and outlook
national resource industries,2,agriculture and natural resource
natural resource industries,34,agriculture and natural resource
natural resources,9,agriculture and natural resource
natural resources & agriculture,1,agriculture and natural resource
natural resources and agriculture,70,agriculture and natural resource
natural resources and energy,1,agriculture and natural resource
natural resources industries,2,agriculture and natural resource
new england economic project outlook,3,business sentiment and outlook
new york,36,overview
no recession in sight,1,business sentiment and outlook
nonbank financial institutions,2,banking and finance
nonbank financial services,36,retail sales and services
nonbuilding,1,retail sales and services
nonfinancial  services,1,retail sales and services
nonfinancial services,249,retail sales and services
non-financial services,17,retail sales and services
nonfinancial services and tourism,1,consumer activity
nonmanufacturing,11,manufacturing and other business activity
nonresidential,2,real estate and construction
nonresidential building,1,real estate and construction
nonresidential construction,38,real estate and construction
nonresidential construction and manufacturing,1,real estate and construction
nonresidential real estate,3,real estate and construction
oil and gas drilling,1,agriculture and natural resource
oil and inflation,1,agriculture and natural resource
other,1,manufacturing and other business activity
other business activity,194,manufacturing and other business activity
other business activityâ,1,manufacturing and other business activity
other consumer spending,1,manufacturing and other business activity
other costs,1,manufacturing and other business activity
other drought effects,1,business activity
other general business conditions,1,business activity
other industrial activity,1,manufacturing and other business activity
other manufacturers,1,manufacturing and other business activity
other manufacturing,3,manufacturing and other business activity
other manufacturing industries,1,manufacturing and other business activity
other reports on business activity,4,business activity
other staginess activity,1,business activity
outlook,67,business sentiment and outlook
outlook and overview,1,business sentiment and outlook
outlook conference,1,business sentiment and outlook
outlook for the district,1,business sentiment and outlook
outlook for the national economy,1,business sentiment and outlook
output and employment,1,business activity
output and inflation,1,business activity
overall economic activity,36,business activity
overview,4511,overview
packaging materials,1,manufacturing and other business activity
panel of economists,7,business activity
paperboard,2,manufacturing and other business activity
parts versus finished goods,1,manufacturing and other business activity
payroll employment,1,employment wage and price
personal income and labor negotiations,1,employment wage and price
pessimism prevails,1,business sentiment and outlook
philadelphia,36,overview
plant and equipment,1,manufacturing and other business activity
plant and equipment investment,1,manufacturing and other business activity
plant closing,1,manufacturing and other business activity
plant closings,2,manufacturing and other business activity
plant closings and jobs,1,manufacturing and other business activity
policy,2,business activity
port activity,30,manufacturing and other business activity
ports,76,manufacturing and other business activity
ports and transportation,35,manufacturing and other business activity
preface,1,overview
"prepared at the federal reserve bank of atlanta and based   on information collected on or before february 18, 2011. this document   summarizes comments received from business and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",1,overview
"prepared at the federal reserve bank of atlanta and based on information collected before august 31, 2009. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of atlanta and based on information collected before february 24, 2014. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of atlanta and based on information collected before july 9, 2012. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of boston and based   on information collected on or before january 3, 2011. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of boston and based on   information collected on or before august 20, 2012. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of boston and based on information collected on or before january 6, 2014. this document summarizes comments received from business and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of boston and based on information collected on or before july 20, 2009.  this document summarizes comments received from business and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of chicago and based   on information collected on or before may 28, 2010. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of chicago and based   on information collected on or before october 7, 2011. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of chicago and based on information collected on or before november 24, 2014. this document summarizes comments received from business and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of chicago and based on information collected on or before october 7, 2013. this document summarizes comments received from business and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of cleveland and based on information collected on or before november 22, 2013. this document summarizes comments received from business and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of dallas and based on   information collected on or before may 25, 2012. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of dallas based on   information collected on or before october 8, 2010. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of dallas based on information collected on or before april 5, 2013. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of kansas city and   based on information collected on or before august 26, 2011. this document   summarizes comments received from businesses and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",2,overview
"prepared at the federal reserve bank of kansas city and based on information collected before july 7, 2014. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of kansas city and based on information collected on or before february 22, 2010.  this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of kansas city and based on information collected on or before february 22, 2013. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of minneapolis and   based on information collected before april 5, 2010. this document summarizes   comments received from business and other contacts outside the federal reserve   system and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of minneapolis and   based on information collected before november 18, 2011. this document   summarizes comments received from business and other contacts outside the   federal reserve system and is not a commentary on the views of federal reserve   officials.",2,overview
"prepared at the federal reserve bank of minneapolis and based on information collected before october 6, 2014. this document summarizes comments received from business and other contacts outside the federal reserve system and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of minneapolis and based on information collected on or before may 24, 2013. this document summarizes comments received from business and other contacts outside the federal reserve system and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of new york and based   on information collected on or before may 27, 2011. this document summarizes   comments received from businesses and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of new york and based   on information collected on or before november 20, 2009. this document   summarizes comments received from businesses and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",1,overview
"prepared at the federal reserve bank of new york and based on information collected on or before may 23, 2014. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of new york and based on information collected on or before september 28, 2012. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of philadelphia and   based on information collected on or before january 4, 2010. this document   summarizes comments received from businesses and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",1,overview
"prepared at the federal reserve bank of philadelphia and   based on information collected on or before july 15, 2011. this document   summarizes comments received from businesses and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",2,overview
"prepared at the federal reserve bank of philadelphia and based   on information collected on or before january 4, 2013. this document summarizes   comments received from businesses and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of philadelphia and based on information collected on or before august 22, 2014. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of richmond and based   on information collected before april 4, 2011. this document summarizes comments   received from businesses and other contacts outside the federal reserve and is   not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of richmond and based   on information collected before october 13, 2009. this document summarizes   comments received from businesses and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of richmond and based on   information collected before november 14, 2012. this document summarizes   comments received from businesses and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",2,overview
"prepared at the federal reserve bank of richmond and based on information collected before april 7, 2014. this document summarizes comments received from businesses and other contacts outside the federal reserve and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of san francisco   based on information collected on or before august 30, 2010. this document   summarizes comments received from business and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",1,overview
"prepared at the federal reserve bank of san francisco and   based on information collected on or before december 30, 2011. this document   summarizes comments received from business and other contacts outside the   federal reserve system and is not a commentary on the views of federal reserve   officials.",1,overview
"prepared at the federal reserve bank of san francisco and based on information collected on or before august 26, 2013. this document summarizes comments received from business and other contacts outside the federal reserve system and is not a commentary on the views of federal reserve officials.",1,overview
"prepared at the federal reserve bank of st. louis and   based on information collected on or before february 17, 2012. this document   summarizes comments received from business and other contacts outside the   federal reserve system and is not a commentary on the views of federal reserve   officials.",1,overview
"prepared at the federal reserve bank of st. louis and   based on information collected on or before july 19, 2010. this document   summarizes comments received from business and other contacts outside the   federal reserve and is not a commentary on the views of federal reserve   officials.",2,overview
"prepared at the federal reserve bank of st. louis and based on information collected on or before july 8, 2013. this document summarizes comments received from business and other contacts outside the federal reserve system and is not a commentary on the views of federal reserve officials.",1,overview
"prepared by the federal reserve bank of cleveland based on   information collected on or before april 2, 2012. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
"prepared by the federal reserve bank of cleveland based on   information collected on or before november 19, 2010. this document summarizes   comments received from business and other contacts outside the federal reserve   and is not a commentary on the views of federal reserve officials.",1,overview
price and costs,1,employment wage and price
price and wages,2,employment wage and price
price cutting,1,employment wage and price
price inflation,1,employment wage and price
price pressure,1,employment wage and price
price pressures,2,employment wage and price
prices,690,employment wage and price
prices  and wages,1,employment wage and price
prices and costs,85,employment wage and price
prices and employment costs,9,employment wage and price
prices and expectations,1,employment wage and price
prices and inventories,1,employment wage and price
prices and labor,3,employment wage and price
prices and labor compensation,1,employment wage and price
prices and labor costs,1,employment wage and price
prices and labor markets,2,employment wage and price
prices and output,1,employment wage and price
prices and wages,147,employment wage and price
prices fairly stable,1,employment wage and price
"prices, wages and earnings",1,employment wage and price
"prices, wages and employment",1,employment wage and price
"prices, wages and labor markets",1,employment wage and price
"prices, wages and productivity",1,employment wage and price
"prices, wages, and earnings",2,employment wage and price
